Release1.1
World size: 15x15
Chunks: 225

World Load Time: 1.819138s

Chunk 0 Load: 1.8809ms
Chunk 0 Render: 16.2515ms
Chunk 1 Load: 0.3328ms
Chunk 1 Render: 4.9388ms
Chunk 2 Load: 0.7562ms
Chunk 2 Render: 6.0227ms
Chunk 3 Load: 0.5275ms
Chunk 3 Render: 7.0468ms
Chunk 4 Load: 0.3176ms
Chunk 4 Render: 4.6194ms
Chunk 5 Load: 0.5529ms
Chunk 5 Render: 4.6543ms
Chunk 6 Load: 0.3224ms
Chunk 6 Render: 5.1277ms
Chunk 7 Load: 1.0213ms
Chunk 7 Render: 5.1313ms
Chunk 8 Load: 0.3146ms
Chunk 8 Render: 5.4308ms
Chunk 9 Load: 0.3341ms
Chunk 9 Render: 4.6464ms
Chunk 10 Load: 0.3157ms
Chunk 10 Render: 4.7608ms
Chunk 11 Load: 0.3345ms
Chunk 11 Render: 5.6485ms
Chunk 12 Load: 0.5557ms
Chunk 12 Render: 5.3538ms
Chunk 13 Load: 0.3609ms
Chunk 13 Render: 5.4527ms
Chunk 14 Load: 0.3401ms
Chunk 14 Render: 4.5524ms
Chunk 15 Load: 0.3314ms
Chunk 15 Render: 5.3154ms
Chunk 16 Load: 1.2562ms
Chunk 16 Render: 4.9583ms
Chunk 17 Load: 0.3384ms
Chunk 17 Render: 5.1118ms
Chunk 18 Load: 0.3406ms
Chunk 18 Render: 4.8886ms
Chunk 19 Load: 0.3414ms
Chunk 19 Render: 5.1386ms
Chunk 20 Load: 0.8145ms
Chunk 20 Render: 5.1532ms
Chunk 21 Load: 0.4453ms
Chunk 21 Render: 4.4121ms
Chunk 22 Load: 0.3368ms
Chunk 22 Render: 5.2472ms
Chunk 23 Load: 0.3315ms
Chunk 23 Render: 5.5123ms
Chunk 24 Load: 0.8438ms
Chunk 24 Render: 5.3642ms
Chunk 25 Load: 0.3326ms
Chunk 25 Render: 4.602ms
Chunk 26 Load: 0.3324ms
Chunk 26 Render: 5.7023ms
Chunk 27 Load: 0.3611ms
Chunk 27 Render: 5.1576ms
Chunk 28 Load: 0.5279ms
Chunk 28 Render: 5.0329ms
Chunk 29 Load: 0.3448ms
Chunk 29 Render: 5.0944ms
Chunk 30 Load: 0.3442ms
Chunk 30 Render: 5.1179ms
Chunk 31 Load: 0.3476ms
Chunk 31 Render: 5.5582ms
Chunk 32 Load: 0.7705ms
Chunk 32 Render: 5.9468ms
Chunk 33 Load: 0.359ms
Chunk 33 Render: 6.377ms
Chunk 34 Load: 0.3258ms
Chunk 34 Render: 5.4692ms
Chunk 35 Load: 0.3515ms
Chunk 35 Render: 5.7517ms
Chunk 36 Load: 0.3261ms
Chunk 36 Render: 5.9549ms
Chunk 37 Load: 0.5271ms
Chunk 37 Render: 4.3838ms
Chunk 38 Load: 0.3373ms
Chunk 38 Render: 4.7082ms
Chunk 39 Load: 0.3322ms
Chunk 39 Render: 5.5289ms
Chunk 40 Load: 0.3391ms
Chunk 40 Render: 5.873ms
Chunk 41 Load: 0.3295ms
Chunk 41 Render: 6.9546ms
Chunk 42 Load: 0.7735ms
Chunk 42 Render: 6.3415ms
